YEAR,MONTH,us_tavg_f,us_tmax_f,us_tmin_f,n_stations
1977,1,18.840984781972804,29.289581968367454,8.392387595578148,481
1977,2,33.67170302557558,45.84630500690632,21.49710104424485,477
1977,3,44.90887025191665,56.4367119201037,33.381028583729616,484
1977,4,55.85184874871397,69.14412608594249,42.55957141148545,482
1977,5,65.18951869792724,77.876086839786,52.5029505560685,483
1977,6,70.9700839271352,83.70570884295199,58.2344590113184,487
1977,7,76.02013692651519,88.7257834792285,63.31449037380189,484
1977,8,72.11574895039693,84.00827826364666,60.22321963714721,483
1977,9,66.7761128896977,78.07082760273641,55.48139817665897,486
1977,10,53.61501958690874,65.91666170668026,41.31337746713721,480
1977,11,43.033232439344665,52.78817079322975,33.278294085459564,480
1977,12,30.70084098802667,40.19631595409333,21.205366021960007,475
1978,1,22.096655625272483,31.292314137961593,12.900997112583376,480
1978,2,23.830002330851517,34.04425800160588,13.61574666009715,480
1978,3,39.04623902482844,50.26480360402377,27.827674445633118,481
1978,4,52.184054177771905,63.920148388533136,40.44795996701068,476
1978,5,61.08664633746465,72.8250919608364,49.3482007140929,482
1978,6,70.22987280475283,82.9475586629329,57.51218694657277,482
1978,7,74.35332738309488,86.70972214338902,61.99693262280073,484
1978,8,73.0691521666568,85.63179049784102,60.506513835472596,477
1978,9,68.00526876844658,80.75450417482422,55.25603336206896,480
1978,10,54.036596448666685,67.77675830677136,40.29643459056201,477
1978,11,42.47208084613951,53.0077371203214,31.936424571957616,467
1978,12,29.7943843309635,39.97157246328839,19.617196198638606,476
1979,1,19.63111283164138,28.96637075144374,10.295854911839026,480
1979,2,24.072354490599302,34.594112190506586,13.550596790692019,482
1979,3,41.3944566621977,52.122260549047205,30.66665277534818,476
1979,4,50.49308451680982,61.73089876894657,39.255270264673065,480
1979,5,60.338987567680846,72.56860815813322,48.10936697722848,474
1979,6,69.27791465887302,81.92085328787216,56.63497602987388,477
1979,7,73.61951892166499,85.37824990899131,61.86078793433866,471
1979,8,72.09975704754896,83.86934517849429,60.33016891660363,466
1979,9,66.51714040108516,79.85489102899238,53.17938977317791,473
1979,10,54.9503958904017,67.68691469425107,42.21387708655232,470
1979,11,41.32432941592675,51.79349886393951,30.855159967913995,482
1979,12,35.739042046546395,46.46350685980593,25.01457723328685,478
1980,1,29.77650371375325,38.77629622786825,20.77671119963825,470
1980,2,29.161112053608825,39.2913359651649,19.030888142052746,475
1980,3,38.37125729940542,49.0907800857905,27.651734513020344,477
1980,4,52.10388917927914,64.81543171963746,39.39234663892082,476
1980,5,62.13728190551761,74.87694881485281,49.3976149961824,479
1980,6,69.792040906083,82.5229546769431,57.061127135222904,477
1980,7,76.98755606847485,90.25922116269632,63.71589097425334,478
1980,8,74.64477338341577,87.22040177390511,62.0691449929264,475
1980,9,67.30429197917938,80.18183828015874,54.42674567820003,478
1980,10,52.46350653411446,65.3472366761884,39.579776392040515,476
1980,11,42.67719729733458,53.851405945463625,31.50298864920553,467
1980,12,32.98682648067652,43.53718377908792,22.436469182265114,474
1981,1,29.42775999216499,40.678265038208345,18.17725494612164,479
1981,2,35.09187704328583,46.7541067324282,23.429647354143444,480
1981,3,42.78680855275534,54.96516002549468,30.608457080015985,480
1981,4,56.56010308908376,69.38276700643654,43.73743917173098,478
1981,5,59.760331106546786,72.02622541701979,47.49443679607378,480
1981,6,71.2851204984075,83.31930158076769,59.2509394160473,482
1981,7,74.71612764508598,86.46452117422616,62.96773411594579,485
1981,8,72.33010340476659,84.4332897632525,60.22691704628067,485
